mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1
-0.6265486,-5.319934,0,0,2.4040916,6.6468773
-0.24202041,-7.0322742,0,0,2.5007012,6.877837
-1.5181177,-3.29041,0,0,1.8917463,5.8256645
-0.43579367,-6.213476,0,0,2.5114243,6.8749804
-0.29752496,-7.010127,0,0,2.3481276,6.616329
-0.5821393,-5.9104757,0,0,2.3810487,6.454778
-0.45640746,-5.907796,0,0,2.543028,6.9520683
-0.44609,-6.015229,0,0,2.3478384,6.4578257
-0.6011179,-5.8177156,0,0,2.125663,6.0368376
-0.2969695,-6.953971,0,0,2.5821888,6.994816
-0.4380392,-6.179577,0,0,2.5247843,6.9864416
-0.661423,-5.5899343,0,0,2.2710125,6.3364863
-0.53317624,-5.516365,0,0,2.4739077,6.784793
-0.86512834,-4.719714,0,0,2.2507498,6.268298
-0.30780533,-7.1405535,0,0,2.4909909,6.509018
-0.32475898,-6.5815754,0,0,2.5863087,7.2587833
-0.3261638,-6.7537346,0,0,1.82641,5.9155183
-0.9026249,-4.8885813,0,0,2.086814,6.0334277
-0.24150114,-6.921318,0,0,2.2517617,6.2425113
-0.43330553,-5.4114695,0,0,2.3436232,6.496721
-0.40645102,-6.4355345,0,0,2.5032692,6.80385
-0.33328882,-6.5347075,0,0,2.5442939,7.0213547
-0.31145456,-6.669364,0,0,2.3308382,6.3410273
-0.8753632,-4.9291906,0,0,1.6561508,5.558111
-0.28203753,-6.7898617,0,0,2.4742873,6.7325606
-0.4498985,-5.9450846,0,0,2.3006568,6.344084
-0.2784671,-7.048828,0,0,2.549231,7.095253
-0.35279992,-6.3319836,0,0,2.5620346,7.1811447
-0.25289872,-7.131173,0,0,2.506266,6.8831844
-0.4923003,-6.5193624,0,0,2.3166988,6.3035297
-0.412555,-5.7990665,0,0,2.3844786,6.521611
-0.2377718,-7.0511007,0,0,1.8782346,5.7315617
-0.2201335,-7.213313,0,0,2.6017678,7.439348
-1.3816268,-3.6832972,0,0,1.7680061,5.5992584
-0.27417132,-7.0056353,0,0,2.5152698,7.503895
-1.0523059,-4.2650633,0,0,2.4286048,6.6807375
-0.36379322,-6.4425316,0,0,2.5591326,7.035149
-0.30399898,-6.9302044,0,0,1.8988874,6.0348024
-0.3245553,-7.106209,0,0,1.9867032,5.963752
-0.27343324,-6.738722,0,0,2.3206496,6.433543
-0.2782111,-6.9603257,0,0,2.6022885,7.4299126
-0.31569532,-6.8502836,0,0,2.1816254,6.4094067
-0.34541777,-6.583316,0,0,2.1149573,6.2512507
-0.40634897,-6.6106596,0,0,2.209907,6.320197
-0.5959056,-5.438698,0,0,2.4480834,6.7224874
-0.26977113,-7.0384035,0,0,2.4908657,6.891288
-0.26851347,-6.639804,0,0,2.124319,6.089515
-0.32566294,-6.5264053,0,0,2.5977247,7.4306207
-0.3434066,-6.6440077,0,0,2.5099063,6.6921864
-0.25748733,-7.049964,0,0,2.4910061,6.8319063
-0.25137502,-6.908869,0,0,2.607616,7.5735884
-0.23164348,-7.255702,0,0,2.4830713,6.8357987
-0.5110596,-5.940529,0,0,2.3899672,6.519947
-0.3599086,-6.8190613,0,0,1.8389981,6.0015507
-0.64381677,-5.473584,0,0,2.2569406,6.258229
-1.0196369,-4.067767,0,0,1.8691196,5.7871795
-0.17215995,-6.8340693,0,0,2.0595798,5.995242
-0.27504352,-6.8921123,0,0,2.2736835,6.2767334
-0.20020108,-7.392253,0,0,1.9158559,6.086899
-0.41999415,-5.8475122,0,0,2.0052478,5.918206
-0.23185496,-7.1634665,0,0,2.4237065,6.494686
-0.800947,-4.7445765,0,0,2.0214984,5.9383616
-0.5607217,-5.860585,0,0,2.0853999,5.9906516
-0.3173652,-6.535618,0,0,2.4672756,6.760403
-0.2744327,-6.9345818,0,0,2.5677686,7.2336254
-0.22685651,-6.3395815,0,0,2.1909583,6.25165
-0.26838616,-6.0990973,0,0,2.200825,6.195651
-0.43111798,-6.250476,0,0,2.5147443,6.9441986
-0.22465543,-6.8007936,0,0,2.202485,6.2426596
-0.42924002,-6.3955717,0,0,2.4918513,6.8353415
-0.462755,-6.095029,0,0,1.9864829,5.8714867
-0.24655856,-7.057014,0,0,2.5362208,7.4856195
-0.2590083,-6.936132,0,0,2.6046975,7.552886
-0.38949707,-6.1712284,0,0,2.481436,6.763776
-0.55490094,-5.2900085,0,0,2.2279394,6.171893
-0.3322251,-6.525297,0,0,2.4841747,6.9210424
-0.33443376,-6.4787536,0,0,2.5803525,7.2622194
-0.2908124,-6.800132,0,0,2.5382953,7.0278487
-0.409869,-6.4651356,0,0,2.4214826,6.593504
-0.52761394,-5.9313517,0,0,2.4221816,6.597457
-0.36831143,-6.334098,0,0,2.5166888,6.7792196
-1.0160387,-4.609622,0,0,2.0866208,6.0461025
-0.3646324,-6.561431,0,0,2.5087795,6.8525763
-0.29909113,-7.0469613,0,0,2.542604,6.783135
-0.32549432,-6.6895,0,0,2.5852797,7.2552233
-0.36473134,-6.5358267,0,0,2.5529845,7.0103946
-0.49538544,-5.7626762,0,0,2.4224386,6.6095214
-0.28717378,-6.881666,0,0,2.5553606,7.08243
-0.850185,-4.8671904,0,0,2.3543334,6.4727726
-0.3387641,-6.6946154,0,0,2.5827246,7.170819
-0.5780943,-5.6893625,0,0,2.4175427,6.5010834
-0.21242054,-7.313795,0,0,2.5985043,7.367861
-0.8150299,-4.7844267,0,0,2.2774181,6.363735
-0.50672036,-6.5744944,0,0,1.7815719,5.6741967
-0.28242472,-6.973359,0,0,2.5463092,6.940979
-0.37985495,-6.233733,0,0,2.5128355,6.862255
-0.48961356,-6.0235662,0,0,2.502986,6.9334936
-0.22538356,-7.011836,0,0,2.3474407,6.487834
-0.39712408,-5.8774567,0,0,2.378749,6.355172
-0.4355438,-6.0220537,0,0,2.1558893,6.1825004
-0.42164353,-6.014515,0,0,2.476753,6.8019094
-0.92213184,-4.7053175,0,0,2.2135673,6.327591
-0.1337965,-7.510399,0,0,2.4047174,6.5644736
-0.33126882,-6.4651184,0,0,2.548644,7.0149293
-0.27804208,-7.092746,0,0,2.577513,7.2373486
-0.2991406,-6.589216,0,0,2.5423484,7.094217
-1.3073127,-4.0868692,0,0,1.8147547,5.67202
-0.34031513,-6.7620554,0,0,2.254732,6.243868
-0.36317137,-6.5676117,0,0,2.3823752,6.6279545
-0.44127157,-6.32358,0,0,2.4158683,6.539608
-0.36348918,-6.4285345,0,0,2.431842,6.599872
-0.33394924,-6.542947,0,0,2.5264435,6.806246
-0.99081117,-4.3649282,0,0,2.1806827,6.1932883
-0.32854584,-6.951686,0,0,2.5041852,6.7679744
-0.47283104,-6.0164986,0,0,2.2892642,6.4595537
-0.5359376,-6.0552454,0,0,2.3045046,6.3874345
