mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-5.8303685,-0.43359113,1,1,8.398427,2.2559428,0.017470345,0.9825296,0.038739927,0.03873993
-4.6910477,-0.8488872,1,1,9.193646,2.4980936,0.079651654,0.92034835,0.14132762,0.14132762
-5.5598764,-0.5349941,1,1,8.739141,2.388404,0.03598731,0.9640127,0.080906354,0.080906354
-5.74843,-0.4477036,1,1,8.8139515,2.410297,0.019154087,0.9808459,0.040588506,0.04058851
-4.6990123,-0.8893213,1,1,9.0520315,2.4686222,0.07392009,0.9260799,0.13044414,0.13044414
-4.8641787,-0.79175067,1,1,9.12241,2.4822407,0.06366643,0.93633354,0.113333814,0.113333814
-5.6714425,-0.50307035,1,1,8.699662,2.3723426,0.025025697,0.97497433,0.06583498,0.06583498
-4.9152274,-0.7656727,1,1,9.137566,2.4830647,0.074817546,0.92518246,0.13520092,0.13520092
-4.452138,-0.98121214,1,1,9.145652,2.4887342,0.109712906,0.89028704,0.17735976,0.17735976
-5.4644904,-0.5352378,1,1,9.069584,2.4656863,0.032692656,0.9673073,0.095142595,0.095142595
-4.7516212,-0.8327904,1,1,9.148052,2.488751,0.08130818,0.9186919,0.13819575,0.13819575
-4.6413617,-0.9020555,1,1,8.945143,2.4477181,0.06309606,0.93690395,0.10422551,0.10422551
-5.1230516,-0.6829226,1,1,9.090658,2.466711,0.049373582,0.9506264,0.10494332,0.10494331
-5.653244,-0.55653715,1,1,8.332483,2.2816691,0.022041049,0.9779589,0.05137261,0.051372614
-4.8980846,-0.7676027,1,1,9.14094,2.4795575,0.049209915,0.9507901,0.08992835,0.08992835
-5.4939976,-0.65537477,1,1,7.784034,2.1052184,0.018406829,0.9815932,0.02924538,0.02924538
-5.5232396,-0.5031061,1,1,8.846079,2.418809,0.031319275,0.96868074,0.07723357,0.07723357
-4.6025085,-0.87441516,1,1,9.216996,2.5054913,0.06813253,0.9318675,0.10372667,0.10372667
-4.3647914,-1.0454867,1,1,9.185044,2.497036,0.11254954,0.88745046,0.18130884,0.18130884
-5.1162434,-0.6841774,1,1,8.744687,2.3933296,0.04446382,0.9555362,0.07595427,0.07595427
-4.4690924,-0.9536538,1,1,9.2021,2.501299,0.10851471,0.89148533,0.15682611,0.15682611
-4.958181,-0.80603766,1,1,8.973323,2.4474263,0.06252174,0.93747824,0.11713341,0.1171334
-4.6644764,-0.8798988,1,1,9.023137,2.461566,0.07199031,0.9280097,0.13149415,0.13149415
-4.194144,-1.0980687,1,1,9.108221,2.485651,0.13785537,0.86214465,0.20260954,0.20260954
-4.4134016,-0.9905565,1,1,9.218092,2.5066328,0.08029992,0.9197001,0.1527316,0.15273161
-4.7183385,-0.84369206,1,1,9.1598015,2.4897761,0.07595453,0.9240455,0.13314849,0.13314849
-4.862621,-0.78193617,1,1,9.176102,2.491856,0.07019098,0.929809,0.13049328,0.13049328
-5.6160703,-0.5373051,1,1,8.2609825,2.2705064,0.02031299,0.97968704,0.04122771,0.04122771
-4.7657876,-0.84957814,1,1,9.08299,2.4717975,0.06858409,0.931416,0.12083892,0.120838925
-5.331668,-0.6442056,1,1,8.795128,2.4095087,0.03310584,0.96689415,0.06838147,0.06838147
-4.635339,-0.9016509,1,1,9.179826,2.4953794,0.08910825,0.9108918,0.1658007,0.16580072
-4.64925,-0.86489344,1,1,9.170113,2.4922848,0.07400421,0.9259958,0.13034162,0.13034162
-5.2202187,-0.6118746,1,1,9.100654,2.466967,0.050902173,0.9490978,0.111094534,0.111094534
-5.204364,-0.6895604,1,1,8.577194,2.360721,0.05590539,0.94409454,0.12787788,0.12787788
-5.6083736,-0.6142254,1,1,8.361456,2.2475924,0.020399012,0.979601,0.034052774,0.034052774
