mean_pred_class0,mean_pred_class1,y,y_pred,var_pred_class0,var_pred_class1,pred_prob_class0,pred_prob_class1,pred_prob_std_class0,pred_prob_std_class1
-0.8722395,-5.5841722,0,0,3.9226947,8.237092,0.95568085,0.044319246,0.0993649,0.0993649
-1.2106996,-4.9214473,0,0,3.8966665,8.092769,0.90985227,0.09014775,0.1482455,0.1482455
-0.9096596,-5.43128,0,0,3.9265747,8.256452,0.94413203,0.055868007,0.13729759,0.13729759
-1.1565282,-4.902019,0,0,3.8842368,8.046789,0.9210301,0.07896984,0.12998538,0.12998538
-1.1167569,-5.0001535,0,0,3.8974004,8.109143,0.91063124,0.0893688,0.14680448,0.14680448
-1.0899205,-5.0253057,0,0,3.9079943,8.148012,0.91758794,0.08241208,0.15666017,0.15666017
-1.8217515,-3.8020816,0,0,3.7790527,7.6410108,0.75835395,0.24164602,0.24832684,0.24832684
-0.797534,-5.8581057,0,0,3.9269433,8.269962,0.962089,0.037911013,0.100104,0.100104004
-0.8529494,-5.6722784,0,0,3.9295793,8.286973,0.9590999,0.04090018,0.10929072,0.10929073
-0.7558416,-5.8947296,0,0,3.8946557,8.163866,0.9662396,0.033760436,0.076602936,0.07660293
-1.1429133,-4.9302154,0,0,3.8792715,8.01667,0.8930982,0.10690174,0.1917325,0.1917325
-0.9599918,-5.411524,0,0,3.7858653,7.785662,0.9502126,0.04978743,0.10336303,0.10336303
-1.0712788,-5.115509,0,0,3.9009995,8.116251,0.9225435,0.077456415,0.14300738,0.14300738
-1.215903,-4.842942,0,0,3.8960552,8.095285,0.9065273,0.09347273,0.1547945,0.1547945
-0.90334785,-5.469525,0,0,3.9141645,8.191065,0.95092,0.04908008,0.1005404,0.1005404
-0.80780935,-5.752176,0,0,3.8906794,8.106729,0.9628535,0.03714642,0.07679295,0.07679294
-1.3585548,-4.589405,0,0,3.8384323,7.859678,0.8702519,0.12974808,0.18617406,0.18617405
-1.0817237,-5.1454206,0,0,3.9099092,8.157024,0.9274291,0.072570875,0.14927636,0.14927636
-0.8989357,-5.503683,0,0,3.9290123,8.277828,0.963447,0.036552966,0.07659285,0.07659285
-0.71583736,-6.0292997,0,0,3.9050589,8.182839,0.96994174,0.030058246,0.073589675,0.07358967
-1.0908114,-4.917307,0,0,3.8961954,8.056032,0.9298704,0.07012962,0.13246377,0.13246377
-1.0596421,-5.138759,0,0,3.9230485,8.230633,0.9275205,0.07247951,0.14644392,0.14644392
-1.1139877,-4.9992304,0,0,3.885377,8.057287,0.93100864,0.068991326,0.11777737,0.11777738
-1.1554282,-4.9629593,0,0,3.8482738,7.938695,0.9162218,0.08377827,0.15596932,0.15596932
